cam:finishDate;cam:sigla;cam:startDate;org:member;org:role;slp:resource_uri
;PDT;;f1c42f04-a2fd-4602-a9fb-3bf2ec66dd05;c3ccb0ea-7b90-4841-b5ec-ce27128da8ec;fa2abf0b-4377-4ab9-8f93-e559e4fc88aa
;PMDB;;a1aca44b-e25f-4ffa-ba8c-a2280445731d;02e1c985-7bc2-4da6-af8c-1f60f2ba86c2;b8cbfaa3-aa67-49c1-9571-20ccce562d82
;PSDB;;8f7f8f69-5235-4e9d-a884-ce61d75fd613;dd89dec2-4c19-48e7-8da2-c1cfe75e549e;bf2b66f7-7d42-461c-8640-648d0f05b934
;PP;;0685388c-49fd-42f8-a945-080138e67328;e52d25c7-fff0-406f-852e-096ab64a3559;ba4a42c5-b2a4-4b75-b764-2c53c23bb485
;PSC;;f82dcb07-a11b-4620-a5ec-9d7784a861ed;3c0215e4-64b9-414e-a3ac-0cbdf806bd61;fd81716c-f9d2-444b-a8a7-647bc21ab68b
;PODE;;f82dcb07-a11b-4620-a5ec-9d7784a861ed;6c117aab-b4d0-496b-b32e-94e3a65f9eaf;6e7db39f-ae7b-4e12-8247-c46c8df3916f
;PT;;8e861e50-2971-4725-baf8-4c9cf847a7de;37725e1d-2bea-4059-bd70-bf7b5bd0e5d8;2e9fd34e-3ea7-4307-8fbe-ca3744479925
;PDT;;81f5e736-f84f-44c6-8f63-f64947aadcc4;73cf0f92-3b1c-413f-9000-fd1d4ca9f91d;c1523af9-9997-439c-8225-10be879d38bb
;SD;;413a3ac3-bcd0-4bb9-9b49-b03ce2014e06;de7ad82f-c067-4e02-86f9-13f515599b34;c10aaca2-e557-4cdd-890b-e4cbd3e5b48a
;PP;;47b1d74b-bd7c-4468-982d-bd1d392136bc;3003d8e3-17f3-401b-8dbe-7f386b608e43;b770b3b5-2360-49ec-9177-1e51670f1d1f
;PP;;303105e6-55c1-40f0-aa82-b96dc7db0124;d3458969-5ee0-4e38-996b-ab9b25e9d03a;5fb193ba-e18e-409c-a001-d2e630fa71f1
;PRB;;dc487c48-3d09-4709-a107-2b1fabe26f6a;3d64c273-c457-4207-b7af-31b352a449e1;09b0cdb3-9d14-446e-9155-73e1ead530fb
;DEM;;dc487c48-3d09-4709-a107-2b1fabe26f6a;1ac52c4f-4219-47d4-9ad8-6dcb4f66455b;3839676a-e3ee-4607-910f-e2f99c3cee3e
;PP;;6352fe51-c310-409c-82f4-088130e6973d;1b165c81-30d1-495d-a0e1-8a8f04723a97;13a274ae-bac5-415c-a937-456c2c97b7ae
;PSDB;;2b913d98-5ab3-4605-937d-ec26e40f09c7;b80e02d6-b0ac-460d-98eb-74954eb08251;b29c379c-89d4-4610-b472-f8b8f3d927f7
;PMDB;;c1a77e59-28c2-4b3b-9851-d6ea8f98a8e4;e76c6f78-3e74-43f4-ba6f-41de575923b2;8459e5a1-faa4-40a4-916d-167f335df42a
;PTB;;74ae0424-4c3c-4615-b404-7a725b15c9ba;6bd963f6-e639-4510-802b-e1211362c6c8;254deaf0-a1d2-4dc3-a02f-fd169faeed39
;PSB;;c5c7c191-13e4-435c-92f9-4387209d3f1d;9b0cd2bb-9493-4659-8237-c1c58679b778;65de69c8-4e0b-4fa5-a044-10e03644fc64
